,Category,Supplier,Region,Store_Size,Snapshot_Date,Season,Current_Stock,Daily_Sales,Reorder_Level,Lead_Time_Days,Unit_Price,Discount_Percent,Shelf_Capacity,Promotion,Holiday_Week,Days_Since_Last_Restock,Customer_Demand_Index,Weather_Impact,Is_Perishable,Stock_Coverage_Days,Price_per_Demand,Supplier_Lead_Reliability,Store_Age_Years,Last_Audit_Score,Competitor_Price_Index,Random_Noise_A,Out_of_Stock
49,Frozen,Supplier_R1,North,Medium,7/18/2025,Fall,5,2.89,13,2,4.81,0,47,Yes,No,8.5,78.7,Medium,1,1.67,1.419,0.807,12,97.3,5.94,79.52,0
50,Meat,Supplier_O2,South,Large,7/17/2025,Fall,2,11.125,32,2,2.78,0,41,No,No,4,96.7,Low,1,0.16,0.222,1.138,16,77.9,2.57,40.62,1
51,Bakery,Supplier_F2,West,Medium,7/1/2025,Summer,21,1.01,14,4,2.5,0,31,Yes,Yes,1,73.4,High,1,18.92,1.656,1.242,31,68.2,3.34,46.08,0
52,Household,Supplier_J1,North,Medium,8/28/2025,Fall,20,2.54,40,6,2.89,0,34,No,No,2,60.7,Low,0,7.58,0.951,1.172,19,91.8,3.02,36.56,0
53,Frozen,Supplier_F2,Central,Medium,7/20/2025,Summer,23,0.35,4,4,3.76,0,30,No,No,2,35.9,High,1,22.535,4.277,1.242,1,86.6,3.87,33.97,0
54,Bakery,Supplier_P2,South,Medium,8/4/2025,Summer,52,8.59,37,2,3.83,0,79,No,No,3,75,High,1,5.98,0.421,0.94,28,65.5,4.54,36.49,0
55,Beverages,Supplier_T1,West,Small,8/29/2025,Spring,10,0.59,2,4,8.23,0,13,No,No,0,50.1,Low,0,14.49,4.277,0.812,9,85.1,8.35,90.54,0
56,Household,Supplier_Z1,West,Medium,6/18/2025,Winter,35,8.44,35,3,5.18,0,56,Yes,No,1,84.4,High,0,4.1,0.579,0.938,15,77.8,5.22,47.71,0
57,Beverages,Supplier_U1,West,Small,8/28/2025,Summer,3,1.59,15,6,3.37,0,31,No,No,5,63.2,Low,0,1.78,1.612,1.262,27,85.9,3.19,43.9,1
58,Snacks,Supplier_F2,Central,Medium,7/21/2025,Fall,36,4.63,60,8.5,2.01,0,92,No,No,4,59.3,High,0,7.61,0.392,1.242,7,93.3,1.72,55.39,0
59,Produce,Supplier_K2,West,Small,8/28/2025,Winter,19,2.46,14,2,3.76,0,24,No,No,1,62.5,High,1,7.42,1.27,1.167,3,84.6,4.36,66.63,0
60,Dairy,Supplier_W1,North,Small,8/18/2025,Summer,6,0.36,2,1,2.55,0,13,No,No,0,53.4,Medium,1,13.04,2.965,1.245,17,87.4,2.61,65.86,0
61,Beverages,Supplier_W1,South,Medium,6/18/2025,Summer,18,3.16,12,2,3.24,0,41,No,No,3,57.2,Low,0,5.52,0.885,1.245,7,87.5,3.64,45.23,0
62,Snacks,Supplier_R1,Central,Large,7/12/2025,Spring,31,9.47,47,3,5.5,0,49,No,Yes,1,100,Low,0,3.24,0.552,0.807,9,99.5,6.79,56.6,0
63,Snacks,Supplier_X1,North,Medium,7/25/2025,Spring,18,2.31,10,2,2.08,0,40,No,No,4,53.7,Low,0,7.47,0.74,0.766,4,63.6,2.17,67.14,0
64,Dairy,Supplier_Q1,East,Medium,6/10/2025,Summer,26,3.02,4,1,3.9,0,42,No,No,4,58.4,Low,1,8.33,1.108,0.748,34,92.2,4.07,53.75,0
65,Personal Care,Supplier_H2,North,Large,8/11/2025,Summer,36,9.54,60,8,2.66,0,80,Yes,No,1,99.3,High,0,3.73,0.265,1.095,9,91,2.75,56.25,0
66,Beverages,Supplier_L1,West,Medium,7/20/2025,Winter,0,0.55,2,4,2.91,0,10,No,No,2,34.1,Low,0,0,2.771,1.173,12,76.3,2.7,51.66,1
67,Snacks,Supplier_A2,Central,Large,7/29/2025,Spring,21,7.91,60,4,1.65,0,78,Yes,Yes,0,82.4,Low,0,2.62,0.196,0.948,21,81.4,2.03,50.02,0
68,Produce,Supplier_S1,South,Large,6/12/2025,Summer,7,1.21,2,1,9.23,0,11,Yes,No,0,53.7,Low,1,5.34,4.277,0.748,31,70.1,8.25,53.67,0
69,Snacks,Supplier_Z1,East,Small,8/6/2025,Winter,2,3.67,5,1,9.765,0,60,Yes,No,2,63.7,Low,0,0.53,3.089,0.938,8,86.8,10.335,39.21,0
70,Snacks,Supplier_F2,Central,Medium,8/21/2025,Spring,11,1.04,15,8.5,4.36,0,21,Yes,No,3,82.7,Medium,0,9.65,2.831,1.242,1,84.9,5.23,71.72,0
71,Beverages,Supplier_E2,East,Medium,6/5/2025,Spring,1,0.27,4,4,4.08,0,13,Yes,No,4,43.7,Medium,0,2.7,4.277,0.724,19,89.3,3.96,76.2,0
72,Bakery,Supplier_K1,Central,Small,8/19/2025,Spring,24,2.64,13,3,8.15,0,34,No,No,0,49.3,High,1,8.76,2.596,0.827,21,86.3,9.14,48.4,0
73,Canned Goods,Supplier_P2,North,Large,7/31/2025,Spring,46,11.125,29,2,1.59,0,66,No,Yes,1,97.1,Medium,0,3.96,0.132,0.94,10,84.9,1.83,57.56,0
74,Frozen,Supplier_Q1,Central,Medium,6/29/2025,Summer,11,3.08,29,4,1.76,0,36,No,No,8.5,62.1,Low,1,3.46,0.492,0.872,2,90.5,1.81,39.53,1
75,Produce,Supplier_S1,North,Small,8/13/2025,Spring,19,1.95,11,2,3.3,0,39,No,Yes,3,73.2,Low,1,9.27,1.347,0.748,8,82.5,3.11,68.35,0
76,Dairy,Supplier_K1,West,Medium,7/26/2025,Spring,3,11.125,28,1,2.31,0,90,No,No,1,94.4,High,1,0.26,0.195,0.827,24,97.3,2.29,60.14,0
77,Snacks,Supplier_C1,South,Medium,7/8/2025,Winter,32,2.69,35,5,3.5,0,35,No,No,2,66.5,Low,0,11.47,1.097,0.988,28,96.4,3.63,38.42,0
78,Canned Goods,Supplier_T1,South,Medium,6/6/2025,Winter,14,8.21,56,3,4.34,0,80,No,No,4,83.6,Low,0,1.68,0.498,0.812,14,80.5,4.77,46.59,1
79,Personal Care,Supplier_N2,West,Large,8/18/2025,Fall,13,1.7,3,1,3.27,0,21,No,No,0,53.2,Low,0,7.22,1.486,0.872,24,72,3.34,42.42,0
80,Bakery,Supplier_O1,East,Small,6/1/2025,Spring,4,5.17,24,3,3.99,0,82,No,No,5,51.4,High,1,0.76,0.704,1.148,25,73.6,4.24,66.58,0
81,Dairy,Supplier_E2,East,Small,7/30/2025,Spring,0,2.93,2,1,4.9,0,42,Yes,No,5,66.2,Low,1,0,1.429,0.724,20,93.3,5.58,68.11,1
82,Meat,Supplier_L2,North,Medium,7/1/2025,Fall,55,10.84,39,2,3.78,0,76,No,No,2,90,Medium,1,5.03,0.333,0.881,31,74.8,3.32,69.88,0
83,Produce,Supplier_Q2,West,Small,7/1/2025,Spring,9,2.03,12,5,4.5,0,48,No,No,3,53.6,High,1,4.23,1.779,1.123,29,80.4,5.57,44.94,0
84,Bakery,Supplier_S1,Central,Small,7/24/2025,Winter,1,1.05,2,1,5.13,0,26,Yes,No,2,60.2,Low,1,0.87,3.31,0.748,17,64.4,6.35,64.02,0
85,Frozen,Supplier_O1,North,Large,6/22/2025,Spring,51,11.125,43,2,2.03,0,62,No,No,3,90.8,Medium,1,4.31,0.166,1.148,23,84.2,2.02,35.66,0
86,Meat,Supplier_M2,North,Medium,7/31/2025,Winter,63,8.75,12,1,4.28,0,90,Yes,No,2,91.4,High,1,7.8,0.463,0.816,5,75.1,3.77,46.89,0
87,Dairy,Supplier_D1,South,Small,7/17/2025,Spring,20,2.22,3,1,5.94,0,31,No,Yes,0,64.7,Low,1,8.62,2.184,1.015,20,73,6.07,53.25,0
88,Beverages,Supplier_K1,South,Medium,7/9/2025,Fall,12,0.82,2,4,2.22,0,14,No,Yes,3,57.1,High,0,13.04,1.682,0.827,22,90.8,2.61,71.33,0
89,Meat,Supplier_Q2,North,Medium,7/22/2025,Spring,5,0.25,2,2,1.83,0,10,No,No,4,41.8,Medium,1,14.29,2.44,1.123,12,99.5,1.93,48.01,1
90,Bakery,Supplier_R1,South,Large,7/24/2025,Winter,32,6.46,29,3,2.96,0,44,Yes,No,1,100,Low,1,4.88,0.425,0.807,3,72.4,3.13,32.42,0
91,Personal Care,Supplier_D1,South,Large,7/10/2025,Spring,63,11.125,60,7,2.69,0,104.5,No,Yes,1,100,Medium,0,9.25,0.166,1.015,9,65.9,3.2,35.11,0
92,Dairy,Supplier_L2,East,Medium,7/11/2025,Spring,24,3.26,14,3,2.45,0,30,Yes,No,0,82.2,High,1,7.14,0.652,0.881,17,66.7,2.51,51.35,0
93,Bakery,Supplier_Q1,Central,Small,6/6/2025,Spring,10,1.21,5,4,3.99,0,25,No,No,3,59.8,Low,1,7.63,2.333,0.977,15,69.7,3.43,53.32,0
94,Meat,Supplier_B2,East,Medium,8/25/2025,Spring,20,3.78,16,2,6.66,0,47,Yes,No,0,62.4,Low,1,5.15,1.556,0.929,18,79.6,6.73,67.07,0
95,Dairy,Supplier_A1,South,Medium,7/18/2025,Winter,14,11.125,60,3,2.24,0,99,No,Yes,8.5,100,Medium,1,0.72,0.113,0.722,34,79.1,2.37,52.3,1
96,Frozen,Supplier_H2,South,Small,6/22/2025,Spring,19,0.39,10,4,2.51,0,22,No,No,2,48.6,Low,1,22.535,2.82,1.095,7,99.3,2.44,75.08,0
97,Household,Supplier_C2,Central,Large,6/27/2025,Spring,8,6.45,48,4,4.03,0,49,No,No,2,70.4,High,0,1.22,0.58,1.058,32,88.5,4.32,71.79,0
98,Snacks,Supplier_P1,East,Medium,8/26/2025,Spring,10,0.51,3,4,1.7,0,13,No,No,4,44.7,Medium,0,16.39,1.683,0.975,29,97.3,1.45,48.98,0
99,Produce,Supplier_A2,Central,Small,6/2/2025,Summer,28,5.04,3,1,5.18,0,49,No,No,5,73.2,Low,1,5.45,0.935,0.948,11,83.9,5.65,26.81,0
100,Dairy,Supplier_A2,West,Medium,6/18/2025,Winter,9,2.59,18,3,3.59,0,32,No,No,6,63.4,Low,1,3.35,1.162,0.948,2,79.1,4.41,9.5,0
101,Household,Supplier_H2,South,Small,8/22/2025,Spring,40,3.52,7,1,3.48,0,63,No,No,1,60.2,Medium,0,11.05,0.866,1.095,14,93.4,3.95,58.07,0
102,Snacks,Supplier_J1,North,Medium,6/16/2025,Summer,46,6.32,60,8,2.53,0,61,No,No,3,83.2,Medium,0,7.17,0.371,1.172,31,88.4,2.95,47.61,1
103,Beverages,Supplier_Y1,North,Medium,7/29/2025,Winter,22,4.73,42,4,2.53,0,50,No,No,8.5,63.6,High,0,4.55,0.484,0.977,14,60.5,2.51,30.52,1
104,Dairy,Supplier_N1,South,Small,8/17/2025,Spring,4,1.25,2,1,6.48,0,15,No,No,1,60.3,Medium,1,2.96,3.703,1.198,19,95.5,5.98,58.05,0
105,Meat,Supplier_R1,Central,Medium,7/20/2025,Spring,5,1.55,17,4,4.35,0,36,No,No,2,56.7,High,1,3.03,2.122,0.807,12,80.9,4.02,57.64,0
106,Household,Supplier_E2,North,Small,6/20/2025,Summer,63,4.71,28,3,2.17,0,104.5,Yes,No,3,67.5,Medium,0,17.46,0.417,0.724,10,73.5,2.33,48.16,0
107,Snacks,Supplier_E2,North,Large,7/14/2025,Spring,33,10.09,17,1,1.85,0,58,No,Yes,1,94.6,Low,0,3.24,0.175,0.724,29,66.7,1.7,43.2,0
108,Dairy,Supplier_L2,Central,Small,6/16/2025,Fall,18,3.03,19,2,9.765,0,31,Yes,No,5,73.1,Medium,1,5.75,2.966,0.881,1,71.9,10.335,44.23,0
109,Frozen,Supplier_E1,South,Small,6/3/2025,Spring,38,0.97,4,1,2.19,0,43,No,Yes,0,59.7,Medium,1,22.535,1.49,1.003,12,90.2,2.27,45.07,0
110,Snacks,Supplier_X1,West,Small,7/6/2025,Winter,63,8.6,60,4,3.86,0,104.5,No,No,0,78.2,High,0,10.34,0.424,0.766,9,60.3,3.85,58.01,0
111,Dairy,Supplier_P2,West,Medium,7/25/2025,Spring,58,7.11,10,1,3.35,0,61,No,Yes,2,80.4,Medium,1,8.04,0.44,0.94,28,80.7,2.95,27.28,0
112,Dairy,Supplier_U1,South,Small,8/14/2025,Fall,11,0.3,4,3,3.32,0,15,Yes,No,1,72.3,Low,1,22.535,4.15,1.262,14,84.3,4.05,28.99,0
113,Snacks,Supplier_C1,South,Small,8/6/2025,Spring,57,10.53,60,4,3.84,0,104.5,No,No,0,82.3,Low,0,5.36,0.348,0.988,33,79.7,4.52,35.1,0
114,Snacks,Supplier_X1,North,Small,6/15/2025,Summer,11,0.6,7,3,9.765,0,30,No,No,1,56.5,Low,0,15.71,4.277,0.766,27,82.5,10.335,49.27,0
115,Frozen,Supplier_M1,East,Small,8/9/2025,Fall,2,0.97,4,1,7.59,0,23,No,No,8.5,53,Medium,1,1.87,4.277,1.004,7,82.5,9.14,52.96,0
116,Frozen,Supplier_X1,Central,Medium,8/3/2025,Fall,31,3.27,13,2,2.15,0,36,Yes,No,4,65.2,High,1,9.2,0.57,0.766,10,65.9,2.38,54.12,0
117,Beverages,Supplier_H2,Central,Large,6/1/2025,Winter,63,11.125,60,4,1.56,0,104.5,Yes,No,2,100,Medium,0,1.21,0.029,1.095,21,68,1.88,56.06,1
118,Bakery,Supplier_N2,South,Medium,6/13/2025,Fall,0,1.34,2,1,3.32,0,36,No,No,8.5,57.7,High,1,0,1.804,0.872,16,81.7,3.72,57.67,1
119,Beverages,Supplier_O2,Central,Medium,7/9/2025,Fall,63,9.99,60,8,9.765,0,94,Yes,No,0,87.8,Medium,0,7.04,1.227,1.138,32,99.4,10.335,24.96,0
120,Frozen,Supplier_Q1,North,Medium,6/5/2025,Fall,12,1.25,9,2,1.58,0,25,No,No,0,47,Medium,1,8.89,0.903,0.977,17,81.3,1.5,33.82,0
121,Beverages,Supplier_G2,North,Medium,7/24/2025,Fall,25,4.85,17,2,3.65,0,65,No,No,5,48.9,Medium,0,5.05,0.682,0.74,16,79.9,3.11,70.42,0
122,Household,Supplier_O2,South,Medium,8/20/2025,Fall,10,1.32,5,3,2.96,0,22,No,No,5,59.1,High,0,7.04,1.626,1.138,25,77.7,3.42,70.07,0
123,Dairy,Supplier_Z1,North,Medium,6/1/2025,Winter,2,4.23,6,2,2.67,0,46,No,No,1,58,Low,1,0.46,0.564,0.938,8,97.9,2.64,33.36,1
124,Canned Goods,Supplier_Z1,South,Medium,7/14/2025,Summer,44,7.98,27,2,3.79,0,97,No,No,5,74.6,Low,0,5.45,0.447,0.938,6,87.4,3.34,56.38,0
125,Dairy,Supplier_P1,West,Small,7/30/2025,Summer,1,7.85,17,1,1.55,0,104.5,No,No,1,93.7,Medium,1,0.13,0.186,0.975,7,81.5,1.91,77.13,1
126,Meat,Supplier_Q1,Central,Small,6/21/2025,Summer,21,0.39,3,5,6.53,0,26,No,Yes,2,59.6,Low,1,22.535,4.277,1.262,30,64.6,6.04,66.11,0
127,Bakery,Supplier_V1,South,Medium,6/28/2025,Summer,23,1.96,7,3,1.16,0,30,No,No,2,54.7,Medium,1,11.17,0.472,1.08,32,64.1,1.23,27.92,0
128,Bakery,Supplier_O1,Central,Medium,6/20/2025,Summer,15,0.71,7,3,0.73,0,18,No,No,0,68.9,Medium,1,18.52,0.603,1.148,34,82.1,0.63,45.86,0
129,Produce,Supplier_E1,North,Medium,6/10/2025,Winter,4,5.3,22,2,9.25,0,66,No,No,3,68.8,Low,1,0.74,1.595,1.003,10,99.2,10.335,64.26,0
130,Dairy,Supplier_L1,Central,Medium,6/17/2025,Summer,29,2.74,9,1,9.765,0,39,No,No,1,62.9,Medium,1,10.21,3.278,1.173,3,85.4,10.335,56.68,0
131,Snacks,Supplier_V1,North,Medium,8/11/2025,Spring,13,4.11,18,4,4.98,0,39,Yes,Yes,8,75,Low,0,3.09,1.08,1.08,19,85.8,4.68,56.12,0
132,Meat,Supplier_E2,North,Medium,8/8/2025,Spring,8,1.7,17,5,1.47,0,38,No,No,3,53.9,Medium,1,4.44,0.668,0.724,5,85.2,1.74,55.15,0
133,Beverages,Supplier_S2,East,Medium,6/26/2025,Summer,63,11.125,60,7,4.26,0,104.5,No,No,1,100,Medium,0,2.74,0.071,0.983,1,96.3,5.1,49.7,1
134,Beverages,Supplier_G1,Central,Small,8/14/2025,Fall,11,1.4,6,3,4.48,0,24,No,No,0,59.9,Low,0,7.33,2.358,1.105,13,73,4.09,54.8,1
135,Produce,Supplier_Z1,East,Medium,8/29/2025,Summer,15,2.85,5,1,5.32,0,40,No,No,1,61.8,Medium,1,5.08,1.588,0.938,6,70.9,6.3,36.35,0
136,Dairy,Supplier_T1,West,Large,7/22/2025,Summer,12,9.25,35,3,1.63,0,30,No,No,7,81.2,Low,1,1.28,0.167,0.812,21,62.2,1.88,61.34,0
137,Snacks,Supplier_R1,East,Small,8/10/2025,Winter,15,1.26,7,3,1.98,0,22,Yes,No,4,69,High,0,11.03,1.125,0.807,4,67.5,1.93,55.52,0
138,Beverages,Supplier_R2,East,Small,6/17/2025,Winter,8,1.1,19,8.5,2.38,0,18,No,No,8.5,64.1,Low,0,6.67,1.487,0.718,6,80.1,2.74,69.19,0
139,Dairy,Supplier_S2,West,Small,8/26/2025,Summer,25,2.13,4,3,3.63,0,52,Yes,No,2,53.8,High,1,11.21,1.38,0.983,27,97.9,4.23,66.8,0
140,Beverages,Supplier_K1,West,Small,8/9/2025,Spring,15,1.18,5,1,7.48,0,21,No,No,5,53.2,Low,0,11.72,4.277,0.827,34,66.2,8.56,39.66,0
141,Beverages,Supplier_J2,Central,Medium,7/16/2025,Spring,17,2.48,14,3,1.05,0,50,No,Yes,3,69.8,Medium,0,6.59,0.352,1.102,24,60.9,1.29,55.25,0
142,Beverages,Supplier_B2,North,Small,7/25/2025,Spring,38,5.56,21,3,3.5,0,57,Yes,No,5,67.2,Medium,0,6.71,0.578,0.929,34,92.6,3.34,56.61,0
143,Bakery,Supplier_A2,South,Medium,6/28/2025,Fall,35,7.12,7,1,5.61,0,43,No,Yes,1,77.5,Low,1,4.85,0.736,0.948,5,80.1,4.85,38.13,0
144,Produce,Supplier_M1,North,Medium,7/7/2025,Spring,1,1.1,10,3,3.04,0,17,No,No,1,60.5,Low,1,0.83,1.9,1.004,17,96.9,3.51,28.52,1
