camera_id,age_days,daily_usage_hours,avg_temperature_c,avg_humidity_percent,vibration_level,signal_strength_dbm,avg_power_consumption_w,firmware_version,camera_type,location_type,manufacturer,weather_exposure,needs_maintenance
CAM_033109,863,1114,25.5,72.0,0.54,-57.1,9.7,9,Bullet,Outdoor_Commercial,Axis,Low,0
CAM_036480,973,1013,15.8,45.1,0.09,-50.4,14.6,10,PTZ,Indoor,Dahua,Medium,0
CAM_024148,50,968,15.3,57.7,1.58,-60.3,12.1,10,Dome,Indoor,Bosch,Low,0
CAM_005503,247,1021,30.3,61.4,0.47,-57.6,22.0,4,Dome,Outdoor_Commercial,Dahua,Low,0
CAM_003918,405,1096,26.7,54.8,0.38,-53.1,17.6,5,Bullet,Outdoor_Commercial,Hikvision,Low,0
CAM_038478,265,1016,25.0,62.7,0.49,-54.9,18.3,8,Bullet,Indoor,Bosch,High,0
CAM_021123,582,981,19.1,64.2,0.07,-72.3,21.0,9,Dome,Warehouse,Dahua,Low,0
CAM_049717,38,966,19.0,60.3,0.19,-53.9,16.2,3,PTZ,Warehouse,Bosch,Medium,1
CAM_042294,285,986,33.4,72.9,0.63,-40.0,12.1,9,Bullet,Warehouse,Axis,Medium,0
CAM_047609,282,1049,26.3,72.6,0.69,-57.5,13.2,2,Bullet,Outdoor_Residential,Axis,Low,0
CAM_011076,191,981,15.6,65.0,1.31,-54.4,19.7,8,PTZ,Outdoor_Residential,Dahua,Low,0
CAM_041514,29,962,26.0,56.9,0.12,-47.8,9.5,1,Thermal,Outdoor_Residential,Axis,Medium,1
CAM_022062,92,995,22.9,65.4,0.04,-50.3,16.8,7,Dome,Outdoor_Residential,Hikvision,Medium,0
CAM_009413,42,980,13.7,86.2,0.55,-57.1,15.9,8,PTZ,Outdoor_Residential,Axis,Low,0
CAM_038340,26,951,33.0,41.3,0.64,-54.8,11.9,4,Dome,Indoor,Axis,Low,0
CAM_030263,207,964,25.6,37.4,0.01,-59.6,11.7,10,Dome,Outdoor_Residential,Hikvision,Low,0
CAM_041252,177,955,16.3,49.3,1.07,-63.7,17.5,6,Dome,Outdoor_Commercial,Axis,Medium,0
CAM_014644,564,957,25.9,68.9,0.49,-60.7,12.6,10,Bullet,Outdoor_Residential,Axis,Low,0
CAM_026335,619,968,20.7,65.0,0.11,-41.2,15.9,1,Dome,Indoor,Axis,Medium,0
CAM_028102,178,1013,36.5,73.3,0.01,-65.1,13.3,7,Dome,Indoor,Hikvision,Medium,0
CAM_017523,665,1043,23.7,55.3,0.48,-65.8,17.0,4,Bullet,Warehouse,Hikvision,Low,0
CAM_024712,298,1022,21.8,70.1,0.25,-65.7,13.8,7,Dome,Outdoor_Residential,Axis,Low,0
CAM_040485,583,1025,18.0,36.0,0.12,-53.9,15.2,10,Bullet,Outdoor_Residential,Axis,Low,0
CAM_003850,197,1000,20.9,66.8,0.7,-59.2,16.1,1,Dome,Outdoor_Commercial,Dahua,High,1
CAM_040040,254,1012,39.1,46.1,0.77,-50.8,16.0,8,Thermal,Outdoor_Residential,Hikvision,Low,0
CAM_015267,349,1026,15.9,63.2,0.62,-65.9,18.4,6,Dome,Warehouse,Axis,Low,0
CAM_049146,561,1006,31.3,80.2,0.28,-57.9,7.3,9,Thermal,Outdoor_Residential,Hikvision,High,0
CAM_030001,224,955,18.5,54.6,0.05,-52.4,19.3,10,Dome,Outdoor_Residential,Bosch,Low,0
CAM_045926,47,1093,34.6,67.7,0.49,-62.1,17.9,3,Bullet,Indoor,Hikvision,Low,0
CAM_043824,559,990,14.3,61.8,0.21,-38.0,11.8,10,Dome,Warehouse,Hikvision,Low,0
CAM_017240,30,1084,29.8,81.9,0.01,-64.0,16.4,8,Dome,Outdoor_Residential,Hikvision,Low,0
CAM_004892,343,955,35.5,87.2,0.73,-55.7,14.1,4,Bullet,Outdoor_Commercial,Hikvision,Low,0
CAM_000725,673,1011,15.4,64.2,0.65,-49.2,15.6,5,Bullet,Outdoor_Commercial,Axis,Medium,0
CAM_022949,686,945,27.1,50.8,0.76,-63.5,14.0,1,Bullet,Indoor,Hikvision,Low,0
CAM_034657,671,1058,16.4,45.9,0.08,-62.6,18.5,10,Dome,Outdoor_Commercial,Hikvision,Medium,0
CAM_037213,594,1003,7.0,54.2,0.24,-53.0,17.0,5,Bullet,Outdoor_Residential,Axis,Low,0
CAM_020304,343,965,20.1,50.9,0.23,-44.0,22.6,8,PTZ,Indoor,Hikvision,Low,0
CAM_015269,30,1003,21.6,54.6,0.55,-63.9,14.4,2,Bullet,Outdoor_Residential,Hikvision,High,0
CAM_022367,36,997,17.7,46.7,0.24,-51.7,14.0,6,Bullet,Outdoor_Commercial,Axis,Medium,0
CAM_042684,568,931,14.5,42.5,0.57,-49.2,14.6,3,Bullet,Outdoor_Commercial,Hikvision,Low,0
CAM_046734,96,1011,20.3,80.6,2.15,-55.7,13.4,7,Dome,Indoor,Dahua,Medium,0
CAM_011732,133,978,27.7,56.5,0.05,-71.0,19.6,6,Bullet,Outdoor_Commercial,Dahua,High,0
CAM_018619,90,961,27.0,28.4,0.41,-57.5,15.5,2,Dome,Outdoor_Residential,Axis,High,1
CAM_048492,50,999,12.0,75.5,0.4,-41.9,13.5,4,Bullet,Indoor,Dahua,Low,0
CAM_026803,204,1011,19.4,68.7,0.77,-47.2,12.8,7,Dome,Outdoor_Residential,Bosch,Low,0
CAM_044305,295,1048,20.7,55.5,0.04,-50.5,18.6,7,Bullet,Warehouse,Bosch,Low,0
CAM_047522,1125,1029,31.9,58.9,1.36,-56.7,14.8,9,PTZ,Indoor,Axis,Medium,0
CAM_032207,92,1004,24.4,53.8,0.39,-49.6,12.4,2,Dome,Indoor,Dahua,High,0
CAM_002530,412,948,22.2,65.9,0.54,-54.2,10.3,10,PTZ,Outdoor_Commercial,Hikvision,Low,0
CAM_017746,1578,1049,27.2,37.5,0.45,-41.3,9.4,4,PTZ,Indoor,Axis,Low,0
CAM_008270,153,1032,14.6,47.5,0.36,-47.1,12.1,10,Dome,Warehouse,Hikvision,High,0
CAM_015079,182,1107,16.6,50.1,0.63,-56.9,10.1,2,Bullet,Outdoor_Commercial,Dahua,Medium,0
CAM_013624,220,971,13.8,53.5,0.41,-64.6,18.1,2,Dome,Indoor,Hikvision,Medium,0
CAM_030638,31,993,20.7,45.2,0.24,-54.5,15.6,1,Thermal,Outdoor_Commercial,Axis,Medium,0
CAM_030440,356,976,9.2,91.2,0.22,-61.1,14.3,6,Dome,Outdoor_Commercial,Hikvision,High,0
CAM_036056,474,1022,45.0,52.1,0.29,-50.0,9.2,1,Dome,Outdoor_Residential,Hikvision,Medium,0
CAM_042651,467,976,29.9,32.1,0.1,-49.0,17.8,8,Bullet,Warehouse,Hikvision,Low,0
CAM_036803,78,996,22.4,49.4,0.2,-55.1,12.1,6,PTZ,Warehouse,Bosch,Medium,0
CAM_048224,132,1059,23.4,79.1,0.15,-56.8,14.2,7,Bullet,Indoor,Axis,Medium,0
CAM_029226,281,1059,23.3,79.3,0.09,-67.0,14.7,4,Bullet,Warehouse,Hikvision,Medium,0
CAM_005633,76,1012,24.1,52.2,0.49,-66.2,15.0,4,Bullet,Outdoor_Residential,Dahua,Low,0
CAM_005987,982,999,19.8,61.5,0.15,-56.1,12.0,10,Dome,Indoor,Axis,Low,0
CAM_048063,204,1016,21.7,79.6,0.34,-55.0,16.6,4,PTZ,Warehouse,Axis,High,0
CAM_001812,112,1051,24.1,62.0,0.29,-52.3,14.6,4,Bullet,Warehouse,Hikvision,High,0
CAM_027578,277,1044,13.4,70.5,0.18,-62.0,17.6,6,Dome,Indoor,Axis,Medium,0
CAM_016823,46,1056,19.0,30.7,1.85,-61.4,15.6,2,PTZ,Indoor,Hikvision,Medium,0
CAM_003928,425,992,26.3,66.8,0.04,-54.6,14.3,5,Dome,Warehouse,Axis,Low,0
CAM_037286,808,992,13.0,36.3,0.03,-50.3,12.7,9,PTZ,Indoor,Hikvision,Medium,0
CAM_025045,61,989,24.7,75.2,0.89,-75.7,14.3,7,Dome,Indoor,Hikvision,Low,0
CAM_015727,468,955,26.0,60.9,0.88,-56.7,15.2,7,Dome,Outdoor_Residential,Dahua,Low,0
CAM_029600,110,972,23.5,73.5,0.24,-70.7,17.6,8,Dome,Outdoor_Residential,Dahua,Low,0
CAM_010430,60,915,22.3,48.8,0.02,-64.9,10.3,5,PTZ,Warehouse,Hikvision,Low,0
CAM_025768,178,1024,21.7,53.9,0.68,-52.7,10.3,8,Bullet,Outdoor_Commercial,Axis,Medium,0
CAM_029103,307,960,16.2,86.0,0.28,-70.4,19.3,8,Dome,Outdoor_Residential,Dahua,Low,0
CAM_036537,556,988,26.1,46.7,0.42,-63.6,12.9,9,Dome,Indoor,Hikvision,Medium,0
CAM_039328,1186,1008,24.0,72.3,0.64,-60.6,12.0,6,Dome,Outdoor_Residential,Hikvision,Low,0
CAM_035539,69,956,14.4,51.2,0.05,-64.1,12.2,9,PTZ,Warehouse,Hikvision,Medium,0
CAM_028075,271,1000,16.5,37.0,1.26,-59.0,13.8,7,Dome,Indoor,Dahua,Medium,0
CAM_017840,719,963,8.0,44.2,0.1,-64.7,16.5,5,Bullet,Warehouse,Dahua,Medium,0
CAM_027802,72,1027,23.1,47.6,0.37,-61.2,12.5,3,Dome,Indoor,Dahua,High,0
CAM_007682,348,999,22.6,54.7,0.25,-58.8,12.0,7,Bullet,Outdoor_Commercial,Axis,Medium,0
CAM_024279,167,979,20.7,56.6,0.4,-51.7,13.4,8,Bullet,Warehouse,Hikvision,Low,0
CAM_033070,166,999,17.3,47.2,0.28,-60.0,13.0,1,Bullet,Indoor,Dahua,High,1
CAM_035557,2,1024,24.6,59.9,0.08,-62.0,12.1,9,Bullet,Outdoor_Residential,Hikvision,Low,0
CAM_037189,381,1008,13.3,87.1,0.6,-60.4,18.3,6,PTZ,Indoor,Hikvision,Low,0
CAM_047149,71,966,20.3,47.1,0.73,-56.9,13.6,2,Bullet,Outdoor_Residential,Axis,High,0
CAM_046915,619,978,17.2,46.0,0.51,-48.6,13.7,6,Dome,Outdoor_Commercial,Hikvision,Low,0
CAM_009801,81,972,20.3,74.8,0.07,-61.0,18.5,8,Dome,Outdoor_Commercial,Bosch,Low,0
CAM_038800,958,1034,26.4,78.5,0.35,-60.1,13.6,5,Bullet,Indoor,Hikvision,Medium,0
CAM_024669,727,993,10.3,75.7,0.18,-52.3,12.2,5,Dome,Outdoor_Residential,Dahua,High,0
CAM_044233,595,1006,21.6,81.6,0.01,-47.2,16.1,2,PTZ,Indoor,Dahua,Medium,0
CAM_031919,1152,1022,17.6,61.5,0.31,-64.9,14.0,9,Bullet,Indoor,Hikvision,Medium,0
CAM_007134,243,1050,16.8,82.4,1.1,-58.8,20.5,3,Bullet,Indoor,Axis,Medium,0
CAM_033704,33,1013,28.5,70.0,0.13,-63.0,12.4,1,Bullet,Warehouse,Dahua,High,1
CAM_029660,43,970,30.2,77.8,0.37,-54.0,16.0,10,Thermal,Warehouse,Axis,Low,0
CAM_017893,358,999,17.8,47.7,0.89,-67.5,13.8,2,Dome,Outdoor_Residential,Hikvision,High,0
CAM_022018,1175,965,18.8,78.1,0.03,-59.7,13.9,5,Bullet,Outdoor_Residential,Axis,Low,0
CAM_013538,656,963,13.1,54.6,0.52,-65.4,15.0,1,Dome,Indoor,Axis,High,0
CAM_043118,1108,965,20.5,50.8,0.05,-51.7,18.5,3,Bullet,Outdoor_Commercial,Dahua,Medium,0
CAM_036420,1433,1026,28.8,65.6,1.54,-48.9,15.4,7,PTZ,Warehouse,Hikvision,High,0
CAM_009405,190,963,17.6,15.0,0.31,-62.7,19.6,5,Bullet,Indoor,Hikvision,Medium,0
CAM_013413,55,1005,26.8,83.9,0.19,-43.6,7.4,7,Bullet,Outdoor_Commercial,Hikvision,Low,1
CAM_006720,540,997,28.1,67.8,0.26,-47.1,11.5,3,Dome,Outdoor_Residential,Dahua,Medium,0
CAM_015601,1240,999,22.6,86.0,0.52,-65.7,9.3,2,Dome,Outdoor_Commercial,Hikvision,High,0
CAM_044743,632,972,34.8,67.1,0.74,-55.9,17.0,5,Bullet,Outdoor_Residential,Dahua,Medium,0
CAM_031138,287,1008,37.0,81.9,0.12,-59.4,15.7,9,Bullet,Outdoor_Residential,Axis,Medium,0
CAM_002729,241,1045,17.9,69.5,0.13,-33.9,16.2,8,Dome,Outdoor_Residential,Hikvision,Low,0
CAM_038242,97,1123,34.5,58.9,0.13,-42.4,14.1,4,PTZ,Indoor,Dahua,Medium,1
CAM_029625,176,966,16.8,36.9,0.08,-45.1,10.8,4,Bullet,Warehouse,Axis,High,1
CAM_047894,148,1005,38.4,66.6,0.73,-43.2,14.7,3,Dome,Outdoor_Commercial,Hikvision,Medium,0
CAM_042090,695,1042,23.4,40.7,0.01,-52.1,10.4,8,Bullet,Outdoor_Commercial,Dahua,Medium,0
CAM_036399,417,1000,8.8,56.6,0.51,-48.3,10.4,9,Bullet,Indoor,Bosch,Low,0
CAM_006244,516,1037,28.9,85.6,0.13,-45.1,9.7,7,Dome,Outdoor_Residential,Hikvision,High,0
CAM_005545,28,1017,27.4,55.9,0.38,-53.7,13.9,6,Bullet,Indoor,Dahua,Medium,0
CAM_004064,732,994,22.1,89.3,0.23,-49.0,12.8,10,Dome,Outdoor_Residential,Axis,Medium,0
CAM_012851,193,995,10.1,86.9,0.12,-52.1,14.8,6,PTZ,Warehouse,Bosch,Medium,1
CAM_021802,228,1082,27.9,72.2,0.13,-69.1,15.0,10,Bullet,Outdoor_Commercial,Hikvision,Medium,0
CAM_041163,921,986,18.5,79.6,0.21,-64.3,14.7,5,Bullet,Warehouse,Hikvision,Medium,0
CAM_006232,294,978,23.2,66.1,0.1,-54.0,14.9,5,Thermal,Indoor,Dahua,Medium,0
CAM_003862,170,1045,28.4,51.9,0.58,-66.0,15.0,7,PTZ,Outdoor_Residential,Dahua,Low,0
CAM_035094,466,1018,11.1,60.2,2.12,-55.3,15.4,5,Bullet,Indoor,Axis,Medium,0
CAM_040195,554,934,29.5,97.7,0.57,-49.1,14.3,7,PTZ,Outdoor_Residential,Hikvision,High,0
CAM_039250,303,1003,21.5,43.5,0.69,-65.6,17.7,4,Dome,Outdoor_Commercial,Dahua,Low,0
CAM_006217,166,913,17.5,63.8,0.18,-61.3,15.9,6,Bullet,Outdoor_Residential,Bosch,High,0
CAM_036775,442,1053,10.1,50.0,0.35,-53.4,9.3,2,Dome,Warehouse,Dahua,Medium,0
CAM_042976,549,933,18.7,57.4,0.4,-55.6,19.0,2,Dome,Indoor,Hikvision,High,0
CAM_048467,146,935,14.9,73.6,0.69,-73.4,15.3,8,Dome,Warehouse,Dahua,Low,0
CAM_014831,267,967,30.0,75.9,0.08,-60.5,18.6,4,Dome,Outdoor_Residential,Axis,Low,0
CAM_030092,112,1002,18.5,47.2,0.45,-53.9,14.7,3,Bullet,Indoor,Axis,High,0
CAM_008893,248,976,6.0,59.5,0.13,-55.8,14.0,9,Dome,Outdoor_Commercial,Dahua,High,0
CAM_006020,197,1017,11.7,74.0,0.35,-42.2,14.7,9,Bullet,Indoor,Axis,Medium,1
CAM_046088,385,1017,24.8,55.3,0.41,-59.0,10.9,5,PTZ,Outdoor_Residential,Axis,Medium,0
CAM_015242,234,998,27.9,39.5,0.12,-68.8,18.8,8,Bullet,Indoor,Axis,Low,0
CAM_045307,620,963,27.2,56.7,0.34,-61.8,13.3,1,Dome,Outdoor_Commercial,Hikvision,Low,0
CAM_026550,572,991,39.5,83.3,0.48,-54.3,11.7,5,Bullet,Indoor,Dahua,Medium,0
CAM_006034,372,965,10.7,54.7,0.4,-47.8,16.1,2,Dome,Outdoor_Commercial,Hikvision,Low,0
CAM_007905,1766,1023,19.7,85.4,0.37,-70.3,11.0,8,Dome,Outdoor_Commercial,Hikvision,High,0
CAM_032225,254,1058,19.1,94.2,0.5,-63.0,13.1,7,PTZ,Indoor,Axis,High,0
CAM_006017,288,963,15.5,62.0,0.29,-44.3,14.8,9,PTZ,Outdoor_Residential,Dahua,Low,0
CAM_021879,58,934,17.0,80.1,0.54,-68.4,8.9,8,Dome,Outdoor_Residential,Bosch,Low,0
CAM_002791,1449,976,18.8,56.1,0.8,-43.3,13.4,6,Bullet,Indoor,Axis,High,0
CAM_042605,77,932,15.0,86.0,0.53,-70.6,12.8,8,Dome,Indoor,Hikvision,Low,0
CAM_005823,480,1007,25.0,55.9,0.26,-62.4,14.4,9,PTZ,Outdoor_Residential,Hikvision,Medium,0
CAM_015387,105,992,19.6,44.7,0.68,-64.6,15.3,10,Bullet,Indoor,Hikvision,High,0
CAM_029561,112,1038,22.3,82.6,0.2,-46.9,12.3,4,PTZ,Indoor,Axis,Low,0
CAM_039475,222,1033,19.1,75.1,0.87,-50.2,16.7,8,Bullet,Outdoor_Residential,Axis,High,0
CAM_000292,631,1027,20.2,65.2,1.41,-36.4,16.5,7,Bullet,Outdoor_Commercial,Bosch,Low,0
CAM_016957,82,980,21.8,71.8,0.24,-53.9,15.9,3,Bullet,Warehouse,Bosch,Medium,1
CAM_030860,65,1021,30.3,52.2,0.15,-57.2,13.0,2,Dome,Outdoor_Residential,Bosch,Low,0
CAM_014073,977,984,17.0,64.2,0.23,-49.0,16.4,9,Thermal,Warehouse,Hikvision,Low,0
CAM_021856,54,1004,3.9,70.3,0.15,-55.9,13.7,4,Bullet,Outdoor_Residential,Hikvision,High,1
CAM_022079,150,967,18.9,72.0,0.99,-52.8,14.7,1,Dome,Indoor,Dahua,Low,0
CAM_017023,8,996,24.8,86.3,1.01,-53.8,18.8,3,Bullet,Indoor,Hikvision,Low,0
CAM_008739,326,1044,20.6,40.2,0.46,-52.5,15.1,4,Bullet,Outdoor_Commercial,Axis,Low,0
CAM_015825,116,966,10.1,85.6,1.61,-60.9,11.3,2,Thermal,Outdoor_Residential,Hikvision,Medium,0
CAM_002741,93,1013,18.1,31.9,0.32,-51.7,15.1,2,Bullet,Indoor,Bosch,Medium,0
CAM_018048,11,1002,17.4,40.5,0.86,-43.4,16.2,8,Dome,Indoor,Hikvision,High,1
CAM_049936,89,985,18.6,77.9,0.38,-45.5,17.1,8,Dome,Outdoor_Commercial,Hikvision,Medium,0
CAM_017372,2,969,23.0,55.2,0.81,-47.8,10.1,8,Dome,Outdoor_Commercial,Axis,Medium,0
CAM_022021,198,988,20.0,76.3,0.1,-49.4,14.0,2,Thermal,Outdoor_Residential,Hikvision,Low,0
CAM_046364,361,933,21.4,78.9,0.47,-30.0,12.7,7,Dome,Outdoor_Commercial,Dahua,Low,0
CAM_023537,2029,1012,29.9,56.2,0.99,-63.8,7.3,3,Dome,Outdoor_Commercial,Axis,Low,0
CAM_045499,501,1002,25.4,70.2,0.54,-44.7,11.7,5,Dome,Outdoor_Residential,Axis,High,0
CAM_040185,1246,979,8.7,43.9,0.72,-54.0,16.4,6,PTZ,Outdoor_Residential,Axis,Medium,0
CAM_009613,40,1008,23.6,68.8,0.37,-31.9,16.9,2,Bullet,Indoor,Dahua,High,1
CAM_043281,673,994,25.7,74.9,0.21,-73.9,12.9,4,Bullet,Outdoor_Commercial,Axis,Low,0
CAM_037891,42,981,21.4,85.8,0.47,-52.1,14.4,9,Dome,Warehouse,Hikvision,High,0
CAM_026178,302,1021,25.1,67.3,0.13,-71.4,11.5,3,Bullet,Warehouse,Axis,Medium,0
CAM_045892,174,961,24.4,63.8,0.99,-51.0,14.7,9,Bullet,Indoor,Bosch,Low,0
CAM_020933,461,972,12.7,70.9,0.31,-58.8,11.7,8,PTZ,Warehouse,Hikvision,Medium,0
CAM_040971,78,1013,26.4,59.3,0.66,-52.4,17.8,5,Dome,Outdoor_Residential,Hikvision,Low,0
CAM_022224,157,956,29.0,59.3,0.26,-60.1,14.4,6,Bullet,Warehouse,Dahua,Medium,0
CAM_024381,712,1146,19.9,63.9,0.75,-50.5,14.1,7,Dome,Indoor,Hikvision,Low,0
CAM_034855,163,981,26.3,80.0,0.14,-50.2,12.6,4,PTZ,Indoor,Axis,Low,0
CAM_048577,987,1051,23.2,73.6,0.85,-55.8,13.4,5,Dome,Outdoor_Residential,Axis,High,0
CAM_038536,92,1056,18.1,69.8,0.35,-48.5,14.8,8,PTZ,Warehouse,Bosch,Low,0
CAM_031755,92,1064,34.1,76.5,0.53,-55.0,14.3,5,PTZ,Indoor,Bosch,Low,0
CAM_007753,202,972,7.0,45.0,0.11,-56.1,16.0,8,Dome,Outdoor_Residential,Hikvision,Medium,0
CAM_046638,620,985,9.9,36.6,0.11,-62.5,21.5,7,Dome,Outdoor_Commercial,Dahua,Medium,0
CAM_043834,295,1036,18.5,64.4,0.22,-66.1,13.5,5,Bullet,Indoor,Hikvision,Low,0
CAM_026235,707,1044,25.6,87.6,0.16,-32.8,16.3,9,PTZ,Outdoor_Residential,Hikvision,High,0
CAM_044229,952,1040,32.3,52.1,0.58,-50.2,17.1,7,Bullet,Indoor,Axis,Medium,0
CAM_049596,130,1056,9.5,88.5,0.14,-67.7,13.9,2,Bullet,Outdoor_Commercial,Bosch,Low,0
CAM_018552,257,1020,45.0,88.0,0.08,-43.2,19.4,10,Dome,Outdoor_Commercial,Dahua,Medium,0
CAM_043136,878,1009,25.8,66.5,0.51,-52.5,14.3,8,Bullet,Outdoor_Commercial,Axis,High,0
CAM_036672,96,980,29.1,87.0,1.08,-56.2,16.0,9,Bullet,Outdoor_Commercial,Dahua,High,0
CAM_043649,226,981,31.0,44.3,0.1,-56.0,15.2,5,Dome,Outdoor_Commercial,Hikvision,Medium,0
CAM_003940,516,1002,32.9,60.7,0.53,-52.1,15.1,8,Dome,Outdoor_Residential,Hikvision,Medium,0
CAM_031496,241,1009,20.4,60.4,0.31,-56.8,18.1,9,Dome,Indoor,Hikvision,Low,0
CAM_026593,476,1025,10.2,56.5,0.14,-38.9,23.6,2,Dome,Indoor,Axis,Medium,0
CAM_023921,7,1068,33.8,66.7,1.93,-50.7,12.7,9,PTZ,Outdoor_Residential,Axis,High,0
CAM_026402,251,886,28.7,69.1,0.9,-53.2,14.9,9,PTZ,Warehouse,Axis,Low,0
CAM_045942,1061,999,17.9,72.7,0.64,-56.2,13.5,4,Dome,Indoor,Axis,Medium,0
CAM_048525,675,989,38.6,84.9,0.16,-56.6,16.2,9,Bullet,Outdoor_Commercial,Bosch,Low,0
CAM_018315,581,989,20.5,24.9,0.29,-40.1,20.7,5,PTZ,Indoor,Bosch,Low,0
CAM_036893,33,1121,21.9,92.4,0.04,-65.1,14.1,4,Bullet,Outdoor_Commercial,Axis,High,0
CAM_026695,39,949,33.0,56.8,0.73,-57.4,12.6,5,PTZ,Outdoor_Residential,Hikvision,High,0
CAM_042127,444,1011,8.3,53.7,0.07,-55.8,13.1,4,Dome,Indoor,Axis,Medium,0
CAM_014170,543,1010,17.6,58.4,0.51,-61.3,18.7,6,PTZ,Outdoor_Commercial,Axis,Low,0
CAM_003732,216,1027,16.6,48.1,1.03,-63.3,10.1,7,Dome,Outdoor_Residential,Hikvision,Low,0
CAM_007881,223,975,28.5,76.9,1.01,-48.0,10.7,8,PTZ,Outdoor_Residential,Dahua,Medium,0
CAM_006016,51,973,19.8,68.1,0.37,-53.0,13.9,1,Dome,Warehouse,Hikvision,Medium,0
CAM_023029,55,975,19.7,69.0,0.27,-58.0,16.0,7,Bullet,Warehouse,Dahua,Low,0
CAM_035473,69,1029,-0.0,42.5,0.6,-50.5,14.3,6,PTZ,Outdoor_Residential,Dahua,Low,0
CAM_049685,566,966,27.6,20.8,0.16,-69.8,12.9,4,Bullet,Indoor,Bosch,High,0
CAM_004817,625,1034,26.6,71.0,0.33,-48.5,16.6,5,Dome,Outdoor_Commercial,Dahua,High,0
CAM_041693,747,1026,28.1,87.7,1.2,-54.0,17.4,5,PTZ,Warehouse,Bosch,Low,0
CAM_012007,744,1016,28.3,68.1,0.14,-50.6,15.6,6,Dome,Outdoor_Commercial,Hikvision,High,0
CAM_041327,39,935,19.2,44.3,0.56,-48.2,12.4,2,Bullet,Indoor,Dahua,Low,1
CAM_009506,33,957,10.9,59.1,0.2,-56.2,14.3,9,PTZ,Outdoor_Residential,Bosch,High,1
CAM_044798,254,952,8.3,68.3,1.32,-48.6,18.7,10,Dome,Indoor,Bosch,Low,0
CAM_034062,318,960,12.0,79.0,0.06,-36.0,14.9,7,Bullet,Indoor,Hikvision,Medium,1
